question,response
To ask the Secretary of State for Education what assessment her Department has made of the effectiveness of the Boxall Profile in ensuring early identification of child behavioural and emotional issues and help track the progress of pupils' social and emotional development.,"To drive improvements across children and young peoples mental health services an additional £1.4bn funding is being made available over the next 5 years to transform children and young peoples mental health services to deliver more integrated and accessible services.We recognise that schools can play a significant role in promoting good mental health and wellbeing. This is important in its own right and we know that mental health problems can have a significant impact on attendance and attainment and life chances in the longer term. We believe that schools are best placed to decide what approaches will be most suitable for their pupils.The Department is contributing £1.5 million to a joint training pilot to test out single points of contact in schools and specialist mental health services as well as improving local referral routes for those children and young people who need access to specialist services.Ministers and officials have met the Nurture Group Network and visited schools where nurture groups are in place who have talked about how the use of the Boxall profile in the nurture group context has helped their pupils. The Network was one of a number of organisations who were involved in producing our blueprint for school-based counselling services which was published last year and describes the features of good support in a whole-school context. <a href=\https://www.gov.uk/government/publications/counselling-in-schools\"" target=\""_blank\"">https://www.gov.uk/government/publications/counselling-in-schools</a>.We have also issued advice on mental health and behaviour which clarifies the responsibility of the school points to tools that can be used to help them identify pupils that may be experiencing a mental health problem and outlines what they can do to provide a stable environment that builds good mental health in all pupils. Nurture groups are one of the interventions highlighted. <a href=\""https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2\"" target=\""_blank\"">https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2</a>We want to get a national picture of the interventions used by schools and what they find to be effective. The department recently issued an Expression of Interest for a large scale survey of schools and colleges which will explore their activity to support their pupils mental health and development of character traits. This survey will report with detailed national estimates of schools and colleges activity including their offer of targeted support such as nurture groups and use of tools like the Boxall profile. It will also seek qualitative evidence on the activities schools and colleges find effective in improving mental health and developing desirable character traits."""
To ask the Secretary of State for Education what assessment her Department has made of the effect of nurture groups on a child's confidence self-esteem and relationship with adults and school attendance and attainment.,"To drive improvements across children and young peoples mental health services an additional £1.4bn funding is being made available over the next 5 years to transform children and young peoples mental health services to deliver more integrated and accessible services.We recognise that schools can play a significant role in promoting good mental health and wellbeing. This is important in its own right and we know that mental health problems can have a significant impact on attendance and attainment and life chances in the longer term. We believe that schools are best placed to decide what approaches will be most suitable for their pupils.The Department is contributing £1.5 million to a joint training pilot to test out single points of contact in schools and specialist mental health services as well as improving local referral routes for those children and young people who need access to specialist services.Ministers and officials have met the Nurture Group Network and visited schools where nurture groups are in place who have talked about how the use of the Boxall profile in the nurture group context has helped their pupils. The Network was one of a number of organisations who were involved in producing our blueprint for school-based counselling services which was published last year and describes the features of good support in a whole-school context. <a href=\https://www.gov.uk/government/publications/counselling-in-schools\"" target=\""_blank\"">https://www.gov.uk/government/publications/counselling-in-schools</a>.We have also issued advice on mental health and behaviour which clarifies the responsibility of the school points to tools that can be used to help them identify pupils that may be experiencing a mental health problem and outlines what they can do to provide a stable environment that builds good mental health in all pupils. Nurture groups are one of the interventions highlighted. <a href=\""https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2\"" target=\""_blank\"">https://www.gov.uk/government/publications/mental-health-and-behaviour-in-schools--2</a>We want to get a national picture of the interventions used by schools and what they find to be effective. The department recently issued an Expression of Interest for a large scale survey of schools and colleges which will explore their activity to support their pupils mental health and development of character traits. This survey will report with detailed national estimates of schools and colleges activity including their offer of targeted support such as nurture groups and use of tools like the Boxall profile. It will also seek qualitative evidence on the activities schools and colleges find effective in improving mental health and developing desirable character traits."""
To ask the Secretary of State for Education how many school pupils were eligible for free school meals in each London borough in December 2015.,"The department does not hold data for the number of pupils eligible for free school meals specifically in December 2015. The latest published figures drawn from the January 2015 school census and broken down by local authority are available in tables 8a 8b and 8c of the ˜Schools Pupils and their Characteristics: January 2015 statistics.[1][1] <a href=\https://www.gov.uk/government/statistics/schools-pupils-and-their-characteristics-january-2015\"" target=\""_blank\"">https://www.gov.uk/government/statistics/schools-pupils-and-their-characteristics-january-2015</a> - refer to the local authority tables."""
To ask the Secretary of State for Education whether the funding announced on 11 January 2016 by the Prime Minister for careers in this Parliament include the £20 million funding announced for the Careers Service in December 2014.,On 11 January 2016 my Rt Hon Friend the Prime Minister announced that we are committing £70 million to our careers strategy over this Parliament to continue the transformation of the quality of the careers education advice and guidance offered to young people. This is on top of the £20 million in 2015-16 announced for careers in the 2014 Autumn Statement.This £70 million will be spent over the next four years to 2020. We have not yet finalised how much will be spent each year or how it will be allocated but can confirm that there will be continued funding for the Careers and Enterprise Company (CEC) to continue its excellent work. We anticipate that this will include funding to support the Enterprise Adviser Network the Careers and Enterprise Fund the Enterprise Passport the CECs research programme and its wider activity to bring schools colleges business and careers and enterprise organisations closer together and to deliver the new mentoring campaign announced by the Prime Minister on 11 January 2016. We will make further announcements in due course.
To ask the Secretary of State for Education how much of the £70 million funding towards careers in this Parliament announced by the Prime Minister on 11 January 2016 will be spent in each of the next four years.,On 11 January 2016 my Rt Hon Friend the Prime Minister announced that we are committing £70 million to our careers strategy over this Parliament to continue the transformation of the quality of the careers education advice and guidance offered to young people. This is on top of the £20 million in 2015-16 announced for careers in the 2014 Autumn Statement.This £70 million will be spent over the next four years to 2020. We have not yet finalised how much will be spent each year or how it will be allocated but can confirm that there will be continued funding for the Careers and Enterprise Company (CEC) to continue its excellent work. We anticipate that this will include funding to support the Enterprise Adviser Network the Careers and Enterprise Fund the Enterprise Passport the CECs research programme and its wider activity to bring schools colleges business and careers and enterprise organisations closer together and to deliver the new mentoring campaign announced by the Prime Minister on 11 January 2016. We will make further announcements in due course.
To ask the Secretary of State for Education what proportion of the funding for careers in this Parliament announced by the Prime Minister on 11 January 2016 will be allocated to the (a) Careers and Enterprise Company and (b) Government's new initiative to recruit high-flying mentors; and to where any other monies from that funding will be allocated.,On 11 January 2016 my Rt Hon Friend the Prime Minister announced that we are committing £70 million to our careers strategy over this Parliament to continue the transformation of the quality of the careers education advice and guidance offered to young people. This is on top of the £20 million in 2015-16 announced for careers in the 2014 Autumn Statement.This £70 million will be spent over the next four years to 2020. We have not yet finalised how much will be spent each year or how it will be allocated but can confirm that there will be continued funding for the Careers and Enterprise Company (CEC) to continue its excellent work. We anticipate that this will include funding to support the Enterprise Adviser Network the Careers and Enterprise Fund the Enterprise Passport the CECs research programme and its wider activity to bring schools colleges business and careers and enterprise organisations closer together and to deliver the new mentoring campaign announced by the Prime Minister on 11 January 2016. We will make further announcements in due course.
To ask the Secretary of State for Education if she will assess the potential merits of enabling or compelling local authorities to use housing and council tax benefit data to (a) identify children who are eligible for free school meals and the pupil premium and (b) enable parents and guardians of those children to claim free school meals for their children.,We want to ensure that as many children as possible who are eligible for free school meals (FSM) receive them. We have made it as simple as possible for schools and local authorities to check eligibility. We are aware that a number of local authorities have been successful in using housing benefit and council tax support claim data to identify children who may be eligible for but are not currently claiming FSM.We are looking in more detail at the approaches that schools and local authorities have taken so far and we will set out the Governments position on this issue shortly.
To ask the Secretary of State for Education what recent assessment she has made of the affordability of childcare in (a) Lambeth (b) Southwark and (c) London.,"The Government uses a range of information to consider the affordability of childcare including our <em>C</em><em>hildcare and Early Years Survey of Parents</em>[1]; independent surveys such as the Family and Childcare Trust Annual Childcare Cost Surveys[2]; and the recent House of Lords Select Committees report on affordable childcare to which we responded on 17 December 2015[3].We are committed to supporting hardworking parents with the costs of childcare and to making childcare more affordable. That is why we will be investing an extra £1billion per annum by 2019-20 to help hardworking families with the cost of childcare.We are already funding 15 hours a week of free early education for all three- and four-year-olds and for disadvantaged two-year-olds. This saves families around £2500 per child per year. Through our Childcare Bill we are making plans to fund and deliver an additional 15 hours of free childcare for the working parents of three- and four-year olds from September 2017 (with early implementation in some areas from September 2016). This is worth around another £2500 per child per year. We also continue to invest in the Early Years Pupil Premium.We are introducing Tax-Free Childcare from early 2017 under which around 2 million families could benefit by up to £2000 per child per year or £4000 per child per year if a child is disabled.For working parents on low and middle incomes working tax credit pays up to 70% of their childcare costs and this will increase to 85% under Universal Credit from April 2016. This support will be available for the first time to those working fewer than 16 hours per week.<br />[1] <a href=\http://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2012-to-2013\"" target=\""_blank\"">www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2012-to-2013</a>[2] <a href=\""http://www.familyandchildcaretrust.org/childcare-cost-survey-2015\"" target=\""_blank\"">www.familyandchildcaretrust.org/childcare-cost-survey-2015</a>[3] <a href=\""https://www.gov.uk/government/publications/affordable-childcare-response-to-the-select-committee-report\"" target=\""_blank\"">https://www.gov.uk/government/publications/affordable-childcare-response-to-the-select-committee-report</a>"""
To ask the Secretary of State for Education what representations she has received from business organisations on the quality of careers information advice and guidance in (a) Lambeth and (b) Southwark; and how she has responded to those representations.,We have engaged with many employers and their representative bodies including the Confederation of British Industry and the British Chambers of Commerce on the subject of careers education and guidance for young people. We are not aware of any specific representations on the quality of careers provision in Lambeth and Southwark.We want to spread excellent practice in careers education and employer engagement across the country so that every young person regardless of background can access the inspiration and guidance they need to prepare for working life. ˜London Ambitions is a great example of a collaborative approach which will transform the landscape of careers and employment support for young people in Lambeth Southwark and other London boroughs. Commissioned through the London Enterprise Panel and London Councils the reports recommendations include at least 100 hours of experience of the world of work by the age of 16 comprehensive up-to-date information on the jobs market in the capital and a ˜London Ambitions Careers Curriculum to help young people link their learning experiences to future success in the workplace.At a national level we have established The Careers &amp; Enterprise Company which is connecting employees from firms of all sizes to schools through a network of enterprise advisers drawn from business volunteers. Working with key stakeholders including employer representatives we are developing a comprehensive strategy to outline this governments plans for improving careers provision by 2020. This will be published in the spring of 2016.
To ask the Secretary of State for Education what plans the Government has to improve employment and careers advice.,The Government has introduced a number of measures to improve employment and careers advice. We have established The Careers &amp; Enterprise Company (CEC) to strengthen links between employers schools and colleges and careers and enterprise organisations to inspire young people and help them take control of their own futures. The CEC is rolling out the Enterprise Adviser Network which connects employees from firms of all sizes to schools through a network of volunteer enterprise advisers. The Company has also launched its £5m Careers &amp; Enterprise Fund to scale up good ideas and fill gaps in provision.The Prime Minister recently announced a new campaign to encourage a new generation of high quality mentors. The campaign which will be led by the CEC will aim to increase the number of business and professional mentors working with teenagers who are under-achieving or at risk of dropping out of education.The Government is also introducing a new initiative which will see Jobcentre Plus staff offer support where schools request it to supplement careers guidance and to help schools deliver their statutory duty to provide high quality independent and impartial careers advice. Jobcentre Plus staff will focus support on those students at risk of not participating in education employment or training. The scheme will be aligned with the CECs Enterprise Adviser network and will be rolled out later this academic year.Building on these measures we want to go further to improve careers education and guidance for all young people. We will launch a careers strategy in the spring of 2016 which will set out the governments vision for careers education and how we will get there by 2020.
To ask the Secretary of State for Education what estimate her Department has made of the financial savings to schools in (a) Pendle (b) Lancashire and (c) the North West as a result of its memorandum of understanding with Microsoft announced on 13 January 2016.,Due to this agreement with Microsoft which runs until June 2018 schools stand to save an estimated £30 million. The agreement also gives them greater flexibility in their use of Microsoft software.
To ask the Secretary of State for Education what assessment she has made of the potential effect on school budgets of the National Living Wage.,We want to reward people in work so we are introducing a national living wage in April 2016 which raises the current minimum rate by 50p per hour. Over a million workers will benefit directly from the increase many by up to £900 a year.Some of those workers are employed in our schools. We will be expecting schools like all employers to manage the change within their budgets. To help them do that we have protected the core schools budget including the pupil premium and we have ensured that the extra £390 million allocated in 2015-16 remains in the baseline for future years. Throughout this Parliament we will increase the amount of money for our schools as pupil numbers rise protecting the total budget in real terms.We have committed to target this funding more fairly by introducing a national funding formula. With a fair formula we will be able to fund schools based on their individual needs so that they can manage cost pressures effectively and make informed decisions about what is best for them and their pupils in the long term. This fairer system will mean schools can keep driving up educational standards while managing their budgets.
To ask the Secretary of State for Education pursuant to the Answer of 18 January 2016 to Question 22307 on parents: mental illness if she will make it her policy to collect such data.,The Department for Education does not intend to collect this data.Information on parental status and mental health illness is collected through the Adult Psychiatric Morbidity Survey managed by the Health and Social Care Information Centre.
To ask the Secretary of State for Education if she will take steps to assist schools in Lincolnshire to resolve recent issues relating to the provision of financial services by SERCO on behalf of Lincolnshire County Council.,We've been in correspondence on this issue and theHon. Memberis aware that the management of financial services to schools is the devolved responsibility of the local authority.<br />The local authority has confirmed they are aware of the problem. They have put in place an emergency project board and are processing payments manually where necessary. Schools concerned about urgent payments should contact the local authority who will intervene and make an emergency payment.
To ask the Secretary of State for Education what assessment she has made of the implication for her policies of the conclusion of the Social Market Foundation report Educational Inequalities in England and Wales published in January 2016 that based upon the performance of 11-year-olds the geographic area in which a child is born has become a more powerful predictive factor in school performance for those born in 2000 compared to those born in 1970.,We refer the Right Honourable MP to our response to PQ 22192 submitted to Parliament on Tuesday 19 January which provides information on our policies to deliver educational excellence everywhere so that every child in England reaches their potential regardless of background.
To ask the Secretary of State for Education what assessment she has made of the implications for her policies of the conclusion of the Social Market Foundation report Educational Inequalities in England and Wales published in January 2016 that the performance gap between students from the richest and poorest backgrounds has remained persistently large between the mid-1980s and the mid-2000s.,We refer the Right Honourable MP to our response to PQ 22192 submitted to Parliament on Tuesday 19 January which provides information on our policies to deliver educational excellence everywhere so that every child in England reaches their potential regardless of background.
To ask the Secretary of State for Education what steps her Department is taking to encourage schools and students to use Public Health England's Sugar Smart app.,The Department for Education fully supports Public Health Englands current campaign to encourage children to reduce the amount of sugar they eat.The Departments considerable social media reach has been mobilised in support of the campaign. We have been using numerous channels to promote the Sugar Smart app and other materials related to this years Change4Life campaign including the teacher toolkits distributed directly to 16500 primary schools in England.
To ask the Secretary of State for Education what steps her Department is taking to ensure schools in deprived areas have adequate money in their budgets to take children on school trips connected to the curriculum.,At the last Spending Review the Chancellor announced that the Government would meet its manifesto commitment to protect the core schools budget throughout this Parliament. We have also protected the pupil premium at its current rates worth £2.5 billion annually. Additionally all local authorities must include a deprivation factor in their local funding formulae through which they distribute funding to schools in their locality. It is for individual schools to decide how best to use their funding to raise the attainment of pupils including those from deprived backgrounds which can include visits in support of the curriculum.
To ask the Secretary of State for Education how many children of parents with mental illnesses there are in (a) pre-primary (b) primary and (c) secondary schools in the most recent period for which figures are available.,The Department does not collect information on the number of children at any stage of school whose parents are suffering from mental illness.
To ask the Secretary of State for Education when her Department plans to respond to the recommendations in the Social Mobility and Child Poverty Commission's 2015 State of the Nation Annual Report.,The government is grateful to the Commission for its wide-ranging and comprehensive report and will study the findings and recommendations very carefully. As the Prime Minister announced on 11 January we are committed to publishing a Life Chances Strategy in the Spring.The Strategy will set out a comprehensive plan to fight disadvantage and extend opportunity including a wider set of non-statutory measures on root causes of child poverty such as family breakdown problem debt and drug and alcohol dependency. The government looks forward to working with the new Social Mobility Commission which will continue to play a very important role in the drive to promote and increase social mobility in the years to come.
To ask the Secretary of State for Education what assessment she has made of the implications for her policies of the conclusions of the Social Market Foundation report published in January 2016 Educational Inequalities in England and Wales.,The government is determined to deliver educational excellence everywhere so that every child regardless of background reaches their potential. Thanks to the hard work of teachers across the country and our ambitious programme of reforms 1.4 million more pupils are in good or outstanding schools compared to 2010.We believe that there is more that can be done. That is why we are introducing new measures to transform failing and coasting schools funding the best academy chains to share excellence in the North and creating a National Teaching Service. This will send some of our best teachers to the areas that need them most starting in the North West.We have also protected the pupil premium at current rates for the duration of this Parliament so that schools receive additional money for pupils from disadvantaged backgrounds. A review of funding for disadvantaged pupils by the National Audit Office in July 2015 found that the attainment gap between disadvantaged pupils and their peers has narrowed in both primary and secondary schools since the introduction of the pupil premium in 2011.
To ask the Secretary of State for Education what estimate she has made of the amount of funding for each (a) primary age and (b) secondary age pupil in (a) Barnsley East constituency (b) Barnsley (c) South Yorkshire and (d) Yorkshire and the Humber in (i) 2016-17 (ii) 2017-18 and (iii) 2018-19.,"We have announced the per pupil funding rates for 2016-17. They can be found on GOV.UK: <a href=\https://www.gov.uk/government/publications/dedicated-schools-grant-dsg-2016-to-2017\"" target=\""_blank\"">https://www.gov.uk/government/publications/dedicated-schools-grant-dsg-2016-to-2017</a><br />Per pupil funding rates for the specified areas in 2016-17 are as follows:<table><tbody>Area2015-16 schools block unit of funding2016-17 schools block unit of fundingBarnsley LA£4460£4474Sheffield LA£4422£4449Rotherham LA£4837£4837Doncaster LA£4511£4530Yorkshire and Humber region (average schools block unit of funding)£4552£4568</tbody></table><br />We protected the schools budget in the last Parliament and we have met our manifesto commitment to protect the core schools budget throughout this Parliament. This means that as pupil numbers rise so will the amount of money available for our schools. The Government is committed to going even further to make school funding fairer. At the Spending Review we announced our intention to introduce a national funding formula so that the money we provide for schools is fairly matched to need. As we develop our plans we will consider the effect of the formula on all schools and make sure change is introduced at a pace that is manageable for the sector. We will set out our detailed proposals and consult extensively later this year."""
To ask the Secretary of State for Education how many childcare providers waited longer than 25 weeks to receive registration from Ofsted in each of the last five years.,Registering new childcare providers is a matter for Ofsted. Her Majesty's chief inspector will be writing to the hon. Member about this matter. A copy of that letter will be placed in the Library of the House.<br />
To ask the Secretary of State for Education what grants have been made by the Leadership Equality and Diversity Fund; and for what purpose each such grant has been made.,"The Leadership Equality and Diversity Fund supports groups of schools to design and deliver bespoke leadership activity to help increase the diversity of those leading Englands schools. Programmes can target any of the nine protected characteristics of the Equality Act 2010. The protected characteristics are age disability gender reassignment marriage and civil partnership pregnancy and maternity race religion or belief sex and sexual orientation.In 2015-16 there are 40 projects. The full details and purpose of each project is available in the document œLeadership Equality and Diversity Fundù published at the following link: <a href=\https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/480857/leadership_equality_and_diversity_schools.pdf\"" target=\""_blank\"">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/480857/leadership_equality_and_diversity_schools.pdf</a>"""
To ask the Secretary of State for Education what funding has been given to Local Safeguarding Children Boards in each year since 2010; and whether her Department plans to institute a nationally-defined funding formula for such boards.,Local Safeguarding Children Boards (LSCBs) are funded through contributions from their partners as agreed locally including local authorities health services and the police. LSCBs publish details of these contributions in their annual reports but these figures are not collated centrally. The Government does not provide ring-fenced funding for LSCBs.On 14 December 2015 the Prime Minister announced that there would be a review of LSCBs. This review has now commenced and will report by the end of March 2016.
To ask the Secretary of State for Education what estimate she has made of the total funding for Southwell Minster School in (a) 2015-16 and (b) 2016-17.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education what estimate she has made of per pupil funding for Southwell Minster School in (a) 2015-16 and (b) 2016-17.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education what per pupil funding for Southwell Minster School was in 2014-15.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education what the total funding for Southwell Minster School was in 2014-15.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education what the average level of funding per pupil in secondary schools in Newark constituency has been in each year since 2010.,Funding from the Department is primarily allocated at a local authority level in this case the Nottinghamshire local authority. Since the introduction of the dedicated schools grant (DSG) in 2006-07 figures are no longer available to be shown split by phase of education.Figures for financial years 2010 to 2013 are shown below in cash terms:<table><tbody>Average revenue per pupil funding (£)2010-112011-122012-13Nottinghamshire LA481047504750</tbody></table><br />Per pupil figures use DSG allocations plus other schools related grants e.g. school standards grant school standards grant (personalisation) standards fund and pupils aged 3-15 rounded to the nearest £10. Most of the additional grants were mainstreamed into DSG in 2011-12.The changes to DSG funding in financial year 2013-14 with funding allocated through three blocks namely schools early years and high needs means there is no longer a comparable overall figure with previous years. The table below shows the DSG schools block unit funding figures in cash terms for Nottinghamshire LA.<table><tbody>DSG schools block per pupil funding (£)2013-20142014-20152015-20162016-2017Nottinghamshire LA4351435143524355</tbody></table><br>Since 2011-12 schools have received the Pupil Premium which targets funding at pupils from the most deprived backgrounds to help them achieve their full potential. In 2011-12 the premium was allocated for each pupil known to be eligible for Free School Meals looked after children and children of parents in the armed services. In 2012-13 coverage was expanded to include pupils known to have been eligible for Free School Meals at any point in the last six years. The amounts per pupil amounts for each type of pupil are shown in following table in cash terms:<table><tbody>Pupil Premium per pupil (£)2011-20122012-20132013-20142014-20152015-2016Free School Meal Pupil Primary£488£623£953£1323£1320Free School Meal Pupil Secondary£488£623£900£935£935Service Children£200£250£300£300£300Looked After Children£488£623£900£1900*£1900*</tbody></table>*Also includes children adopted from care<br />Total Pupil Premium allocations for Nottinghamshire local authority and schools in the Newark constituency for each year are shown in the following table in cash terms:<table><tbody>Pupil Premium Allocations (£ millions)2011-20122012-20132013-20142014-20152015-16 (prov.)Nottinghamshire LA7.38014.71022.90330.42030.163Newark constituency0.6781.4042.2032.8992.815</tbody></table><br />Figures for Newark exclude the looked after children element as this is not available at a parliamentary constituency level.<br> <br>
To ask the Secretary of State for Education what the average level of funding per pupil has been in secondary schools in Nottinghamshire in each year since 2010.,Funding from the Department is primarily allocated at a local authority level in this case the Nottinghamshire local authority. Since the introduction of the dedicated schools grant (DSG) in 2006-07 figures are no longer available to be shown split by phase of education.Figures for financial years 2010 to 2013 are shown below in cash terms:<table><tbody>Average revenue per pupil funding (£)2010-112011-122012-13Nottinghamshire LA481047504750</tbody></table><br />Per pupil figures use DSG allocations plus other schools related grants e.g. school standards grant school standards grant (personalisation) standards fund and pupils aged 3-15 rounded to the nearest £10. Most of the additional grants were mainstreamed into DSG in 2011-12.The changes to DSG funding in financial year 2013-14 with funding allocated through three blocks namely schools early years and high needs means there is no longer a comparable overall figure with previous years. The table below shows the DSG schools block unit funding figures in cash terms for Nottinghamshire LA.<table><tbody>DSG schools block per pupil funding (£)2013-20142014-20152015-20162016-2017Nottinghamshire LA4351435143524355</tbody></table><br>Since 2011-12 schools have received the Pupil Premium which targets funding at pupils from the most deprived backgrounds to help them achieve their full potential. In 2011-12 the premium was allocated for each pupil known to be eligible for Free School Meals looked after children and children of parents in the armed services. In 2012-13 coverage was expanded to include pupils known to have been eligible for Free School Meals at any point in the last six years. The amounts per pupil amounts for each type of pupil are shown in following table in cash terms:<table><tbody>Pupil Premium per pupil (£)2011-20122012-20132013-20142014-20152015-2016Free School Meal Pupil Primary£488£623£953£1323£1320Free School Meal Pupil Secondary£488£623£900£935£935Service Children£200£250£300£300£300Looked After Children£488£623£900£1900*£1900*</tbody></table>*Also includes children adopted from care<br />Total Pupil Premium allocations for Nottinghamshire local authority and schools in the Newark constituency for each year are shown in the following table in cash terms:<table><tbody>Pupil Premium Allocations (£ millions)2011-20122012-20132013-20142014-20152015-16 (prov.)Nottinghamshire LA7.38014.71022.90330.42030.163Newark constituency0.6781.4042.2032.8992.815</tbody></table><br />Figures for Newark exclude the looked after children element as this is not available at a parliamentary constituency level.<br> <br>
To ask the Secretary of State for Education what estimate her Department has made of changes in the cash level of per pupil funding for secondary schools in the county of Nottinghamshire in each of the next five years.,We have announced the per pupil funding rates for 2016-17. Nottinghamshire will receive £4355 per pupil in 2016-17. We have protected these rates against 2015-16 levels so that Nottinghamshire will continue to receive the additional £860000 it received in 2015-16. Whilst the Department sets the level of funding received by each local authority it is for local authorities in consultation with their schools forum to set their own funding formulae to decide how to distribute funding for pupils aged 5 to 16 in their areas including the funding allocated to secondary schools.Beyond 2016-17 the Government is committed to delivering our manifesto pledge to make school funding fairer. We intend to introduce a National Funding Formula for schools high needs and early years. We will set out and consult on our detailed plans for a National Funding Formula later in the year.
To ask the Secretary of State for Education what the level of funding per pupil at Southwell Minster School has been in each year since 2010.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education what the total level of funding at Southwell Minster School has been in each year since 2010.,We do not estimate budgets at an individual school level for future years as they are subject to change depending on pupil numbers characteristics and the LA funding formula. We do not hold the information requested but we do publish the allocations at individual school level for the current academic year every October.<br />The following table details the individual school budget and the per pupil funding rates for Southwell Minster School in Newark. These have been sourced wherever possible up to 2012-2013 from published Section 251 statements which detail local authority spending at school level and from published school and academy allocations for 2013-14 2014-15 and 2015-16.<br /><table><tbody>Minster Southwell SchoolTotal pupilsTotal Funding (£)Per pupil (£)2010-111645670145140742011-121623709755443732012-131599717249644862013-141622739740745612014-151611718704544612015-16159170936494459</tbody></table><br><br />
To ask the Secretary of State for Education pursuant to the Answer of 10 November 2015 to Question 15125 when she plans to publish draft proposals on eligibility requirements for free school meals within universal credit; when the consultation on those proposals will be launched; and when she plans to make a final decision on eligibility.,We plan to launch a public consultation on eligibility for free school meals under Universal Credit later in 2016 with a view to having the necessary regulations in place for the end of the year when the roll out of the full Universal Credit Service to a broader claimant base will be well under way.While this work is on-going any child whose parent or guardian is receiving Universal Credit will continue to be entitled to free school meals.<br />
To ask the Secretary of State for Education if the Government will consider making young adult carers eligible for the vulnerable groups component of the bursary which provides financial support for 16 to 19 year olds.,The Government recognises the valuable service that young carers provide both to their community and their families. It is vital that they are not disadvantaged in their education and have the same access to education career choices and wider opportunities as other young people.In November 2015 officials from the Education Funding Agency met representatives from the Carers Trust to discuss how best to support young carers through the 16-19 bursary fund. We will work with the National Association of Managers of Student Services to review the use of the discretionary bursary fund and amend our funding guidance to ensure that institutions prioritise the needs of young carers.
